config,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Test Accuracy,Test Precision,Test Recall,Test F1
"{'window_size': 10, 'batch_size': 16, 'hidden_size': 32, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.001, 'num_epochs': 50, 'use_dropout': True, 'dropout_rate': 0.5, 'use_batch_norm': True}",0.6155745188545424,0.6406647582697201,0.6704083165915233,0.5528053265648689,0.5837993396993172,0.8077198481845285,0.40273354564755837,0.6835254271560003,0.5723637650389243,0.3548023379307341,0.5296242774566474,0.4033953112368634,0.46942615239887114,0.43391304347826093
"{'window_size': 20, 'batch_size': 32, 'hidden_size': 64, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.01, 'num_epochs': 100, 'use_dropout': True, 'dropout_rate': 0.3, 'use_batch_norm': True}",0.5656720890246744,0.6790816326530612,0.6837638445540681,0.6708298819721817,0.6685658861639947,0.9745351497906758,0.4263373121131742,0.6718205475312498,0.6308590192324313,0.45594429465020725,0.5268895348837209,0.4232209737827715,0.6420454545454546,0.510158013544018
"{'window_size': 30, 'batch_size': 64, 'hidden_size': 128, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.1, 'num_epochs': 150, 'use_dropout': False, 'dropout_rate': 0.0, 'use_batch_norm': True}",0.7225200760191766,0.4971153846153846,0.7661057692307692,0.46153846153846156,0.30363807485785427,0.7030017375946045,0.3125,1.0,0.07692307692307693,0.07692307692307693,0.6158068057080132,0.0,0.0,0.0
"{'window_size': 40, 'batch_size': 128, 'hidden_size': 128, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.05, 'num_epochs': 150, 'use_dropout': True, 'dropout_rate': 0.2, 'use_batch_norm': True}",0.6905739324014062,0.5333928571428571,0.5256524666865922,0.7390107863160109,0.6112409325223778,0.6896337293027862,0.5916565533980582,0.6784018036406326,0.8311204326094284,0.7174049561013367,0.43888070692194403,0.3979591836734694,0.896551724137931,0.5512367491166077
"{'window_size': 50, 'batch_size': 64, 'hidden_size': 64, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.001, 'num_epochs': 100, 'use_dropout': True, 'dropout_rate': 0.5, 'use_batch_norm': True}",0.22196658227680754,0.9151369463869463,0.9259943326265128,0.9037274343963466,0.9125511844247282,1.266108045812513,0.48828125,0.7164863223951352,0.49872675130196203,0.5532105200723172,0.5268022181146026,0.4076923076923077,0.5096153846153846,0.452991452991453
"{'window_size': 60, 'batch_size': 32, 'hidden_size': 32, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.01, 'num_epochs': 50, 'use_dropout': True, 'dropout_rate': 0.1, 'use_batch_norm': True}",0.6650608726475234,0.58896484375,0.5947018554845569,0.5904854695142862,0.5797028661799403,0.7496016917394349,0.3856275303643725,0.6713046757164404,0.44617627649004166,0.4128618372036159,0.49776785714285715,0.3448275862068966,0.3508771929824561,0.34782608695652173
"{'window_size': 60, 'batch_size': 32, 'hidden_size': 32, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.01, 'num_epochs': 200, 'use_dropout': True, 'dropout_rate': 0.1, 'use_batch_norm': True}",0.5862259440899832,0.68984375,0.6850596450437183,0.7033661163559094,0.6861084143181483,0.8676968156256096,0.43775303643724695,0.6731936364289306,0.4577093621628035,0.44259417997985573,0.515625,0.3838383838383838,0.4444444444444444,0.4119241192411923
"{'window_size': 60, 'batch_size': 32, 'hidden_size': 32, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.01, 'num_epochs': 200, 'use_dropout': True, 'dropout_rate': 0.1, 'use_batch_norm': True}",0.5643104448885252,0.69521484375,0.7162882933200271,0.6515790161446645,0.6733704951114288,1.0147721217228816,0.35905870445344135,0.678984414278532,0.4417668616808293,0.37856046601534366,0.4888392857142857,0.3489583333333333,0.391812865497076,0.36914600550964183
"{'window_size': 10, 'batch_size': 16, 'hidden_size': 32, 'num_classes': 1, 'optimizer_name': 'sgd', 'learning_rate': 0.001, 'num_epochs': 50, 'use_dropout': True, 'dropout_rate': 0.5, 'use_batch_norm': True}",0.6873130447819176,0.545430449533503,0.5459824491313043,0.48292070877948773,0.4937565439271471,0.7056589613655608,0.4534235668789809,0.684940855323021,0.6892250530785563,0.45535422183349805,0.48554913294797686,0.3935103244837758,0.6274694261523989,0.48368382886149386
"{'window_size': 20, 'batch_size': 32, 'hidden_size': 64, 'num_classes': 1, 'optimizer_name': 'sgd', 'learning_rate': 0.01, 'num_epochs': 100, 'use_dropout': True, 'dropout_rate': 0.3, 'use_batch_norm': True}",0.664673272288256,0.5716198979591837,0.5960769123520034,0.4605492383094328,0.5020946436728919,0.76682474790328,0.3614610963748895,0.6899204783820168,0.43574265017096236,0.24510590165459598,0.59375,0.45706371191135736,0.3125,0.3712035995500562
